№,Секунда,Микросекунда
1,36,436380
2,36,447739
3,36,457844
4,36,467958
5,36,478332
6,36,488528
7,36,498655
8,36,508946
9,36,519223
10,36,529477
11,36,539823
12,36,550015
13,36,560190
14,36,570353
15,36,580587
16,36,590803
17,36,601318
18,36,611874
19,36,622012
20,36,632273
21,36,642621
22,36,652772
23,36,662920
24,36,673420
25,36,683529
26,36,694037
27,36,704462
28,36,714727
29,36,724915
30,36,735115
31,36,745372
32,36,755454
33,36,765846
34,36,775928
35,36,786031
36,36,796161
37,36,806479
38,36,816986
39,36,827600
40,36,838071
41,36,848481
42,36,858816
43,36,869374
44,36,879782
45,36,890116
46,36,900594
47,36,911235
48,36,921723
49,36,932158
50,36,942483
51,36,953017
52,36,963388
53,36,973642
54,36,984151
55,36,994559
56,37,4946
57,37,15022
58,37,25093
59,37,35640
60,37,45699
61,37,55915
62,37,66327
63,37,76959
64,37,87379
65,37,97518
66,37,107622
67,37,118019
68,37,128219
69,37,138751
70,37,149134
71,37,159286
72,37,169394
73,37,179908
74,37,189977
75,37,200225
76,37,210382
77,37,220535
78,37,230672
79,37,240746
80,37,250953
81,37,261074
82,37,271638
83,37,281700
84,37,291756
85,37,302009
86,37,312494
87,37,322953
88,37,333536
89,37,343604
90,37,353986
91,37,364058
92,37,374420
93,37,384776
94,37,395087
95,37,405266
96,37,415735
97,37,426081
98,37,436380
99,37,446653
100,37,457189
101,37,467725
102,37,477969
103,37,488254
104,37,498711
105,37,509142
106,37,519205
107,37,529400
108,37,539826
109,37,550230
110,37,560280
111,37,570399
112,37,580547
113,37,590670
114,37,600726
115,37,610800
116,37,621156
117,37,631490
118,37,642164
119,37,652704
120,37,663410
121,37,674204
122,37,684865
123,37,695088
124,37,705502
125,37,716192
126,37,726515
127,37,736829
128,37,747220
129,37,757740
130,37,768331
131,37,778676
132,37,789108
133,37,799254
134,37,809467
135,37,820035
136,37,830519
137,37,841042
138,37,851383
139,37,861759
140,37,872022
141,37,882641
142,37,892874
143,37,903046
144,37,913306
145,37,923633
146,37,934101
147,37,944158
148,37,954451
149,37,964914
150,37,975479
151,37,985808
152,37,996167
153,38,6819
154,38,17089
155,38,27453
156,38,38223
157,38,48453
158,38,59025
159,38,69535
160,38,80193
161,38,90742
162,38,100911
163,38,111475
164,38,122044
165,38,132354
166,38,142662
167,38,153126
168,38,163640
169,38,174177
170,38,184706
171,38,194987
172,38,205036
173,38,215415
174,38,225634
175,38,235881
176,38,246134
177,38,256647
178,38,267090
179,38,277144
180,38,287509
181,38,297971
182,38,308210
183,38,318755
184,38,329290
185,38,339365
186,38,349686
187,38,359764
188,38,369849
189,38,380023
190,38,390641
191,38,400860
192,38,410942
193,38,421508
194,38,431969
195,38,442131
196,38,452282
197,38,462730
198,38,472804
199,38,482947
200,38,493021
201,38,503199
202,38,513427
203,38,523622
204,38,534085
205,38,544488
206,38,554964
207,38,565214
208,38,575578
209,38,585687
210,38,595758
211,38,605824
212,38,615966
213,38,626055
214,38,636472
215,38,647183
216,38,657532
217,38,667699
218,38,678038
219,38,688174
220,38,698621
221,38,708871
222,38,719034
223,38,729346
224,38,739838
225,38,750195
226,38,760528
227,38,770947
228,38,781522
229,38,791992
230,38,802411
231,38,812806
232,38,822980
233,38,833297
234,38,843747
235,38,853992
236,38,864412
237,38,874651
238,38,884756
239,38,894959
240,38,905583
241,38,915984
242,38,926601
243,38,936806
244,38,947277
245,38,957883
246,38,968523
247,38,978771
248,38,989078
249,38,999452
250,39,9795
251,39,20442
252,39,30790
253,39,41365
254,39,52039
255,39,62893
256,39,73118
257,39,83351
258,39,93461
259,39,103819
260,39,114006
261,39,124336
262,39,134753
263,39,144898
264,39,155380
265,39,166206
266,39,177147
267,39,187833
268,39,198277
269,39,208697
270,39,218914
271,39,229456
272,39,239820
273,39,249994
274,39,260197
275,39,270715
276,39,281095
277,39,291683
278,39,302376
279,39,312723
280,39,323501
281,39,334362
282,39,344720
283,39,355179
284,39,365517
285,39,376134
286,39,386646
287,39,397207
288,39,407997
289,39,418521
290,39,429021
291,39,439481
292,39,450129
293,39,460264
294,39,470618
295,39,480833
296,39,491276
297,39,501753
298,39,512025
299,39,522194
300,39,532734
